리뷰,음식유형,리뷰2,리뷰3,리뷰4,label,리뷰5,new리뷰,토큰화된리뷰
노란별         진장점          하얀별           성남점인테리어              주차                     직원친절                       체계서비스                             위생                                   음식                              디저트                 식사시간                                가까워 갈것같긴하나 차가있으니ㅎ 전 성남점을 이용할듯 디저트많이드실분아니면 성남점 강추합니다,양식,"['노랗다', '가깝다', '같다', '차갑다', '추하다']",노랗다 가깝다 같다 차갑다 추하다,노랗다 가깝다 같다 차갑다 추하다,0,"['노랗다', '가깝다', '같다', '차갑다', '추하다']","['노랗다', '가깝다', '같다', '차갑다', '추하다']","[124, 5, 75, 40]"
생면파스타는 처음 먹어보는것 같아요 세상에 너무 맛있어요 다음에 친구랑도 올려구요,양식,"['같다', '맛있다']",같다 맛있다,같다 맛있다,1,"['같다', '맛있다']","['같다', '맛있다']","[5, 1]"
차분한 분위기에서 대화하기도 좋고 모든 메뉴가 다 맛있어요 생일 기념으로 왔다가 만족하고 갑니다,양식,"['차분하다', '좋다', '맛있다', '만족하다']",차분하다 좋다 맛있다 만족하다,차분하다 좋다 맛있다 만족하다,1,"['차분하다', '좋다', '맛있다', '만족하다']","['차분하다', '좋다', '맛있다', '만족하다']","[2, 1, 35]"
두번째방문 맛있아요,일식,['맛있다'],맛있다,맛있다,1,['맛있다'],['맛있다'],[1]
친구들이랑 방문했는데 예쁘고 엄청크고대형 카페인거 치고 음료랑 빵도 맛있었어요 ,카페,"['예쁘다', '맛있다']",예쁘다 맛있다,예쁘다 맛있다,1,"['예쁘다', '맛있다']","['예쁘다', '맛있다']","[28, 1]"
샐러드도 먹고싶거 피자도 먹고싶은사람 강추여 피자 느끼할까바 걱정했는뎅 샐러드가 다잡아줘요 ㅠㅠㅠㅠㅠㅠ존맛탱구리,양식,['느끼하다'],느끼하다,느끼하다,0,['느끼하다'],['느끼하다'],[26]
너무맛있어요 양도 많고 가게가 깨끗하고 친절하세용,일식,"['맛있다', '많다', '깨끗하다', '친절하다']",맛있다 많다 깨끗하다 친절하다,맛있다 많다 깨끗하다 친절하다,1,"['맛있다', '많다', '깨끗하다', '친절하다']","['맛있다', '많다', '깨끗하다', '친절하다']","[1, 8, 38, 7]"
여기 몽블랑은 조금 아쉬웠는데요 계속 먹게 되는 중독의 맛이에요 빵종류도 무지무지 많구 레몬케이크 진짜 인생 레몬케이크에요 꼭 드셔보시길 추천드립니당,카페,"['아쉽다', '많다']",아쉽다 많다,아쉽다 많다,1,"['아쉽다', '많다']","['아쉽다', '많다']","[10, 8]"
음식이  맛있고    가게 사장님도  나무  친절하십니다,양식,"['맛있다', '친절하다']",맛있다 친절하다,맛있다 친절하다,1,"['맛있다', '친절하다']","['맛있다', '친절하다']","[1, 7]"
맛은 있지만 가격이 비싼요,디저트,"['있다', '비싸다']",있다 비싸다,있다 비싸다,0,"['있다', '비싸다']","['있다', '비싸다']","[4, 9]"
존맛존맛 빵 거의 원 미만인 것 같던데 다른 프랜차이즈 생각하면 비싼 편 아니에요,디저트,"['같다', '비싸다', '아니다']",같다 비싸다 아니다,같다 비싸다 아니다,0,"['같다', '비싸다', '아니다']","['같다', '비싸다', '아니다']","[5, 9, 6]"
좋아요 좋아요 맛있어요 맛있어요 ,양식,"['좋다', '좋다', '맛있다', '맛있다']",좋다 좋다 맛있다 맛있다,좋다 좋다 맛있다 맛있다,1,"['좋다', '좋다', '맛있다', '맛있다']","['좋다', '좋다', '맛있다', '맛있다']","[2, 2, 1, 1]"
뷰도 좋고 너무 맛있네요,카페,"['좋다', '맛있다']",좋다 맛있다,좋다 맛있다,1,"['좋다', '맛있다']","['좋다', '맛있다']","[2, 1]"
점도 아까워요 이렇게  맛 없는 음식을 어떻게 파시나요,일식,"['아깝다', '없다', '어떻다']",아깝다 없다 어떻다,아깝다 없다 어떻다,0,"['아깝다', '없다', '어떻다']","['아깝다', '없다', '어떻다']","[20, 3, 56]"
맛있어요  다음에 또 올래요 ,한식,['맛있다'],맛있다,맛있다,1,['맛있다'],['맛있다'],[1]
시킨음식 다맛있었어요 대게는 두말할것없고 매운탕에 볶음밥까지 정말 맛없는게없네요 친구가 추천해줘서왔는데 다음에는 부모님모시고 꼭 와야겠습니다,해산물,"['맛있다', '없다', '맛없다', '없다']",맛있다 없다 맛없다 없다,맛있다 없다 맛없다 없다,0,"['맛있다', '없다', '맛없다', '없다']","['맛있다', '없다', '맛없다', '없다']","[1, 3, 27, 3]"
남편이랑 아기랑 밥먹으려고 갔는데 정말 맛집이였어요 ㅎㅎ삼산동 살면서 여태 몰랐다니ㅜ 아기의자도 있고 계속 신경써주시며 챙겨주셔서 좋았습니다  ,양식,"['있다', '좋다']",있다 좋다,있다 좋다,1,"['있다', '좋다']","['있다', '좋다']","[4, 2]"
공영주차장에 주차하고 걸어오면 편해요 지인 추천으로 왔는데 매장이 좁은거에 비해 회전율이 좋아서 많이 안 기다렸어요 가성비 좋고 매장 청결하고 직원분들이 친절합니다ㅎㅎ,양식,"['편하다', '좁다', '좋다', '좋다', '청결하다', '친절하다']",편하다 좁다 좋다 좋다 청결하다 친절하다,편하다 좁다 좋다 좋다 청결하다 친절하다,1,"['편하다', '좁다', '좋다', '좋다', '청결하다', '친절하다']","['편하다', '좁다', '좋다', '좋다', '청결하다', '친절하다']","[21, 72, 2, 2, 73, 7]"
단체 모임하기 좋은 텍사스 로드 하우스네요 울산 현대백화점에 이런 곳이 있는 줄 몰랐어요 햄버거 피자스테이크 다양하게 즐길 수 있습니다 생일이 때면 생일 파티도 해줘요 여기 에피타이저 빵 맛집 입니다 분 마다 구워서 나온다고 하더군요  층에 올라오니 뷰도 좋네요 잘 먹고 갑니다 ,양식,"['좋다', '이렇다', '있다', '다양하다', '있다', '이다', '좋다']",좋다 이렇다 있다 다양하다 있다 이다 좋다,좋다 이렇다 있다 다양하다 있다 이다 좋다,1,"['좋다', '이렇다', '있다', '다양하다', '있다', '이다', '좋다']","['좋다', '이렇다', '있다', '다양하다', '있다', '이다', '좋다']","[2, 37, 4, 30, 4, 11, 2]"
분위기가 좋고 양도 많고 특히 맛이좋아요,양식,"['좋다', '많다', '좋다']",좋다 많다 좋다,좋다 많다 좋다,1,"['좋다', '많다', '좋다']","['좋다', '많다', '좋다']","[2, 8, 2]"
뷰 좋아요,한식,['좋다'],좋다,좋다,1,['좋다'],['좋다'],[2]
빵은 전반적으로 다 비쌈,디저트,['비싸다'],비싸다,비싸다,0,['비싸다'],['비싸다'],[9]
일식 중식 맛없다 스테이크 질기다 연어 질기고 맛없다 나는 먹을 게 없다 입짧은 저같은 분은 여기갈돈에 조금 더얹어서 다른 전문점 가세요 혀가 많이 괴롭습니다,양식,"['맛없다', '맛없다', '없다', '짧다', '같다', '괴롭다']",맛없다 맛없다 없다 짧다 같다 괴롭다,맛없다 맛없다 없다 짧다 같다 괴롭다,0,"['맛없다', '맛없다', '없다', '짧다', '같다', '괴롭다']","['맛없다', '맛없다', '없다', '짧다', '같다', '괴롭다']","[27, 27, 3, 165, 5]"
아이가 감자탕이 먹고싶데서 방문해서 주문했는데 동치미국물에 벌레가 빠져서 교환해달라고 들고갔더니 다시떠준 국물에도 벌레가 미안하다는 말한마디 없더라구요 다시는 가고싶지 않아요ㅡㅡㅡㅡㅡ,한식,"['미안하다', '없다']",미안하다 없다,미안하다 없다,0,"['미안하다', '없다']","['미안하다', '없다']","[85, 3]"
주차장이 없는것 빼고 만족울산에 바질파스타 먹을수 있는곳이 많이 없는데ㅜㅜ진짜 잘먹었습니다바질 요리 많이 넣어주세요,양식,"['없다', '있다', '없다']",없다 있다 없다,없다 있다 없다,0,"['없다', '있다', '없다']","['없다', '있다', '없다']","[3, 4, 3]"
맛있고 실수로 대기 취소됐는데 바로 들어갈 수 있게 도와주셨어요 매우 친절합니다,일식,"['맛있다', '있다', '친절하다']",맛있다 있다 친절하다,맛있다 있다 친절하다,1,"['맛있다', '있다', '친절하다']","['맛있다', '있다', '친절하다']","[1, 4, 7]"
베이커리가 다소 비쌈,디저트,['비싸다'],비싸다,비싸다,0,['비싸다'],['비싸다'],[9]
항상 웨이팅 있는 맛집  카츠가 맛없기 어렵지만  맛있었어요  카츠보다 사이드로 주문한 소바가 ㄹㅇ 맛났어용 ㅋㅋㅋㅋㅋㅋ,양식,"['있다', '맛없다', '어렵다', '맛있다']",있다 맛없다 어렵다 맛있다,있다 맛없다 어렵다 맛있다,0,"['있다', '맛없다', '어렵다', '맛있다']","['있다', '맛없다', '어렵다', '맛있다']","[4, 27, 70, 1]"
오 여기서 물회먹엇는데 지짜 푸짐하고 만족  돈까스는 튀김들이 잡으면 떨어져서 살짝 아쉽 그러나 전체적으로 만족,해산물,['아쉽다'],아쉽다,아쉽다,0,['아쉽다'],['아쉽다'],[10]
다른대는 뉴스에보니  음식더는 집게도 여러사람이 손으로 집게돼므로  위험하다고 집게사용시에마스크착용과 일회용비닐장갑하고 집게사용할수있도록 해쓰면함  ,양식,"['위험하다', '용하다']",위험하다 용하다,위험하다 용하다,0,"['위험하다', '용하다']","['위험하다', '용하다']","[147, 175]"
실내에서 캠핑하는 기분도 내고맛도 너무 좋아요 분위기랑 맛이 다하는 베테랑바베큐  다음엔 부모님 모시고 오려구요 부모님들도 너무 좋아하실것 같아요  아 그리고 쌈장찌개는 무조건입니다 무조건 시키셔야합니다 얘가얘가 진국입니다 ,한식,"['좋다', '좋아하다', '같다', '이다', '야하다', '이다']",좋다 좋아하다 같다 이다 야하다 이다,좋다 좋아하다 같다 이다 야하다 이다,1,"['좋다', '좋아하다', '같다', '이다', '야하다', '이다']","['좋다', '좋아하다', '같다', '이다', '야하다', '이다']","[2, 23, 5, 11, 31, 11]"
가격이 비싸요탕수육 원짬뽕 원   입니다탕수육 고기는 부드러웠어요디저트 팥빙수 는얼음이 너무너무너무 딱딱한 돌덩이었습니다,중식,"['비싸다', '이다', '부드럽다', '딱딱하다']",비싸다 이다 부드럽다 딱딱하다,비싸다 이다 부드럽다 딱딱하다,0,"['비싸다', '이다', '부드럽다', '딱딱하다']","['비싸다', '이다', '부드럽다', '딱딱하다']","[9, 11, 36, 86]"
엄마가 파스타가 드시고 싶다고 해서 갔는데 역시 후회없어요애들이랑 같이 갔다고 까르보나라를 서비스로 주시더라구요,양식,['없다'],없다,없다,0,['없다'],['없다'],[3]
테이브링 필수아님 ㅂㅏㄷㅏ 즐기기 맛나요음 많이 먹는 사람에겐 부족 ㅋㅋ,한식,['아니다'],아니다,아니다,0,['아니다'],['아니다'],[6]
직원분들도 친절하시고 스테이크도 맛있게 잘먹었습니다,양식,"['친절하다', '맛있다']",친절하다 맛있다,친절하다 맛있다,1,"['친절하다', '맛있다']","['친절하다', '맛있다']","[7, 1]"
브런치 먹으러 왔어요 분위기도 좋고 음식도 푸짐하게잘나와요 추천합니다,양식,['좋다'],좋다,좋다,1,['좋다'],['좋다'],[2]
웬만해선 리뷰 안쓰는데  어찌 된 것인지 서빙하는 사람들 명인가 있던데 하나같이 인상이 ㅜㅜ   겨자소스나 와사비 소스 얘기하니 원래 안나간다 당당히 말하고 들어오는 손님 몇명인지 물어보는게 가장 우선이고 큰일이고 서빙하면서 껌을 짝짝 씹지 않나 ㅜㅜ  전체적인 분위기가 이런곳은 주인의 의식이 문제가  있는듯  음식은 그런데로 나오지만 다시는 내돈주고 팔려주기 싫은 가게이고 손님 많은게 보기 싫은 가게였습니다 ,한식,"['웬만하다', '있다', '당당하다', '있다', '싫다', '많다', '싫다']",웬만하다 있다 당당하다 있다 싫다 많다 싫다,웬만하다 있다 당당하다 있다 싫다 많다 싫다,0,"['웬만하다', '있다', '당당하다', '있다', '싫다', '많다', '싫다']","['웬만하다', '있다', '당당하다', '있다', '싫다', '많다', '싫다']","[207, 4, 4, 49, 8, 49]"
메뉴도 다양하고 식당이 매우 넓어서 좋아요음식도 신선하고 맛있습니다 ,일식,"['다양하다', '넓다', '좋다', '신선하다', '맛있다']",다양하다 넓다 좋다 신선하다 맛있다,다양하다 넓다 좋다 신선하다 맛있다,1,"['다양하다', '넓다', '좋다', '신선하다', '맛있다']","['다양하다', '넓다', '좋다', '신선하다', '맛있다']","[30, 16, 2, 34, 1]"
별한개도 주기아까워요도넛은 맛있는데여자직원 완전불친절명찰보니 교육생은 아니던데손님앞에서 교육생한테 짜증내고손님한테는 불친절,디저트,"['아깝다', '맛있다', '아니다']",아깝다 맛있다 아니다,아깝다 맛있다 아니다,0,"['아깝다', '맛있다', '아니다']","['아깝다', '맛있다', '아니다']","[20, 1, 6]"
가족 모두 육회러버가 아니라면 언양불고기 개가 나을 듯요 세식구 언양 육회에 식사 셋 했는데 육질은 부드러우나 불에 구운고기는 못 이깁디다ㅎ,한식,"['아니다', '부드럽다']",아니다 부드럽다,아니다 부드럽다,0,"['아니다', '부드럽다']","['아니다', '부드럽다']","[6, 36]"
뇨끼 기대를 무지했던터라  실망도 크네요 뇨끼 크기가 커서 찢어먹는데도물려요 느끼한맛이지배하네요샐러드 참 맛있었는데 뇨끼와 먹으니 둘다 단맛이 강해 빨리 물렸어요 뇨끼 느끼하고 단맛이 강해요 라구 파스타는 그냥 그저 그러네요파스타집 가서 남기고 온적은 첨이네요재방문의사 없어용,양식,"['무지하다', '느끼하다', '맛있다', '강하다', '느끼하다', '강하다', '그렇다', '없다']",무지하다 느끼하다 맛있다 강하다 느끼하다 강하다 그렇다 없다,무지하다 느끼하다 맛있다 강하다 느끼하다 강하다 그렇다 없다,0,"['무지하다', '느끼하다', '맛있다', '강하다', '느끼하다', '강하다', '그렇다', '없다']","['무지하다', '느끼하다', '맛있다', '강하다', '느끼하다', '강하다', '그렇다', '없다']","[26, 1, 126, 26, 126, 12, 3]"
어두워요,한식,['어둡다'],어둡다,어둡다,0,['어둡다'],['어둡다'],[156]
혼밥 하기 좋아용 매장도 깔끔하궁 ,일식,"['좋다', '깔끔하다']",좋다 깔끔하다,좋다 깔끔하다,1,"['좋다', '깔끔하다']","['좋다', '깔끔하다']","[2, 15]"
빵도 차갑도 딱딱하고 딱히 별로 그냥 우리가 잘아는 그런집 두번은 안갈듯,양식,"['차갑다', '딱딱하다', '딱하다']",차갑다 딱딱하다 딱하다,차갑다 딱딱하다 딱하다,0,"['차갑다', '딱딱하다', '딱하다']","['차갑다', '딱딱하다', '딱하다']","[75, 86, 90]"
와 너무 맛있게 잘 먹었습니다미안한데 사진은 없어요넘 맛있게 먹느라,양식,"['맛있다', '미안하다', '없다', '맛있다']",맛있다 미안하다 없다 맛있다,맛있다 미안하다 없다 맛있다,1,"['맛있다', '미안하다', '없다', '맛있다']","['맛있다', '미안하다', '없다', '맛있다']","[1, 85, 3, 1]"
삼산동 굿모닝안과 골목에 위치한 맛있는 면집눈꽃냉모밀에 눈꽃이 넘 예쁘고 먹는 내내 시원 매콤새콤한 눈꽃회비빔막국수도 넘 맛나고 됒기불고기비빔밥은 가성비 너무 맛나요 가격보고 작은건가했는데 ㅋㅋ 그냥 비빔밥 한그릇이네요ㅎㅎ 군만두도 바삭하니 맛나고 비빔군만두는 매콤하니 채소랑 먹으니 넘 맛있었어요ㅎㅎ인테리어도 예쁘고 사진뽑히는 기계도 꽁짜  깻묵찌꺼기도 들고가도되고 영수증리뷰이벤트도,일식,"['맛있다', '예쁘다', '작다', '맛있다', '예쁘다']",맛있다 예쁘다 작다 맛있다 예쁘다,맛있다 예쁘다 작다 맛있다 예쁘다,1,"['맛있다', '예쁘다', '작다', '맛있다', '예쁘다']","['맛있다', '예쁘다', '작다', '맛있다', '예쁘다']","[1, 28, 44, 1, 28]"
매장 분위기도 깔끔하고 저렴하게 잘먹었습니다,양식,"['깔끔하다', '저렴하다']",깔끔하다 저렴하다,깔끔하다 저렴하다,1,"['깔끔하다', '저렴하다']","['깔끔하다', '저렴하다']","[15, 68]"
분위기 좋아요  사람은 엄청 많네요 ㅠ,카페,"['좋다', '많다']",좋다 많다,좋다 많다,1,"['좋다', '많다']","['좋다', '많다']","[2, 8]"
번째 방문인데요 통로자리 앉았는데 직원들이 너무 왔다갔다해서 먼지도 날리는것 같고 먹는내내 불편했어요초밥맛도 오늘따라 별로였고직원들이 많은것 치고 대응도 느리고 여러번 불러야했고암튼 정신없이 먹은것같아 만족도가 떨어지는 한끼,일식,"['같다', '불편하다', '많다', '느리다', '야하다', '같다']",같다 불편하다 많다 느리다 야하다 같다,같다 불편하다 많다 느리다 야하다 같다,0,"['같다', '불편하다', '많다', '느리다', '야하다', '같다']","['같다', '불편하다', '많다', '느리다', '야하다', '같다']","[5, 13, 8, 99, 31, 5]"
등억온천근처에있는 농도 카페 한옥으로 되어있는곳은 식사와 차 모두먹을수있고 한쪽다른건물은 차만 마실수있는곳이네요 저흰 차만 마실수있는층으로 갔는데 좌식으로 의자없이 바닥에 앉아야 해서 좀불편하더라구요 나오면서 보니 밑에는 테이블과 의자에 앉아서 마실수있는곳이 있더라구요 들어갈때 못봐서요 ㅜㅜ ,카페,"['있다', '희다', '불편하다', '있다']",있다 희다 불편하다 있다,있다 희다 불편하다 있다,0,"['있다', '희다', '불편하다', '있다']","['있다', '희다', '불편하다', '있다']","[4, 229, 13, 4]"
파스타 간이 좀 세게 느껴지긴했는데다른 느끼한 메뉴를 보완해주긴 하네요전체적으로는 무난히 먹을만 한 편이었어요,퓨전,['느끼하다'],느끼하다,느끼하다,0,['느끼하다'],['느끼하다'],[26]
고급지고 맛있게 먹었던 다이닝식당이다유럽풍스타일의 분위기에 음식들은 깔끔하고 맛또한 퀄리티가 높아 매우 만족스러웠다특히 매콤한 소스의 오징어에 오징어먹물이 들어간 파스타와의 콜라보는 개꿀맛이었지울산에 가면 또 가고 싶은곳으로 찜해두었징,양식,"['맛있다', '깔끔하다', '높다', '만족스럽다']",맛있다 깔끔하다 높다 만족스럽다,맛있다 깔끔하다 높다 만족스럽다,1,"['맛있다', '깔끔하다', '높다', '만족스럽다']","['맛있다', '깔끔하다', '높다', '만족스럽다']","[1, 15, 125, 60]"
만족스러운 식사 였습니다  ,양식,['만족스럽다'],만족스럽다,만족스럽다,1,['만족스럽다'],['만족스럽다'],[60]
벚꽃 피기전에 가서 뷰가 좀 아쉬웠어용 ㅠ,카페,['아쉽다'],아쉽다,아쉽다,0,['아쉽다'],['아쉽다'],[10]
곧 벚꽃이 피면 아마 자리잡긴 힘들듯벚꽃이 만개하면 뷰가 끝내주는 곳,카페,"['힘들다', '끝내주다']",힘들다 끝내주다,힘들다 끝내주다,0,"['힘들다', '끝내주다']","['힘들다', '끝내주다']","[24, 148]"
세트메뉴 먹게끔 유도하는거 같아서 별로 저희 응대해준 직원은 다른 테이블 하는거 봤을때도 불친절하더라구요 자리이동하면 인상 찌푸리고요 전반적으로 서비스 개선해야할듯요 말만 음식은 입에 맞으신가요 하지말고,양식,"['같다', '불친절하다']",같다 불친절하다,같다 불친절하다,0,"['같다', '불친절하다']","['같다', '불친절하다']","[5, 14]"
별반개는 없나요 손님모시고 큰맘먹고 검색하고 예약했죠랍스타 찜 먹었는데요코스로 나온 물회는 쏘쏘했구요 회 점도 그나저나 했어요랍스타까지는 괜찮았는데 마지막 매운탕 정말 실망했습니다생선도 아니고 살이 도 없는 뼤다귀만엄청 비려서 도저히 한숟갈 먹어보고는 손도 안댔습니다 계산할때 매운탕 무슨고기 들어갔는지 물어봐도 답도 없고 침묵 맛이 좀 안좋았다니까 답도 없더군요계산된 영수증보고는 할인안되어있어서 네이버 예약할인 얘기하니까 미리 말하지 그랬냐며 만원 툭 꺼내주더군요예약되었다면 알았을 텐데 말이죠리뷰가 극과 극을 달려서 궁금했었는데정말 실망 입니다다신 안가요점은 신빙성이 있는 정보인지 의심 스럽고요 손님 모셔놓고 너무 불편했어요,해산물,"['없다', '괜찮다', '실망하다', '아니다', '없다', '없다', '안좋다', '없다', '안되다', '그렇다', '궁금하다', '이다', '있다', '스럽다', '불편하다']",없다 괜찮다 실망하다 아니다 없다 없다 안좋다 없다 안되다 그렇다 궁금하다 이다 있다 스럽다 불편하다,없다 괜찮다 실망하다 아니다 없다 없다 안좋다 없다 안되다 그렇다 궁금하다 이다 있다 스럽다 불편하다,0,"['없다', '괜찮다', '실망하다', '아니다', '없다', '없다', '안좋다', '없다', '안되다', '그렇다', '궁금하다', '이다', '있다', '스럽다', '불편하다']","['없다', '괜찮다', '실망하다', '아니다', '없다', '없다', '안좋다', '없다', '안되다', '그렇다', '궁금하다', '이다', '있다', '스럽다', '불편하다']","[3, 17, 43, 6, 3, 3, 67, 3, 19, 12, 129, 11, 4, 69, 13]"
뷰도 좋고 커피도 맛있고 아이들도 좋아하는 여행가다 소풍가다 카이막 세트도 너무 맛있어요 ,카페,"['좋다', '맛있다', '좋아하다', '맛있다']",좋다 맛있다 좋아하다 맛있다,좋다 맛있다 좋아하다 맛있다,1,"['좋다', '맛있다', '좋아하다', '맛있다']","['좋다', '맛있다', '좋아하다', '맛있다']","[2, 1, 23, 1]"
아점으로 방문해서 완전 만족한 한끼식사했어요 음식도 엄청 맛있었는데 직원분들 엄청 친절하심 색깔옷입으신 분들이 매니저지배인 뭐 그런거 같은데 특히나 그분들이 세심하게 챙겨주셨어요 말씀드리지않아도 아이한테 필요한 식기류도 먼저 주시고 더 필요한건 없는지 계속 신경써주셔서 정말로 대접받는 기분들었어요 고급레스토랑에서 받던 서비스를 받고 온 기분입니다 감사합니다,양식,"['만족하다', '맛있다', '친절하다', '그렇다', '같다', '필요하다', '필요하다', '없다', '이다']",만족하다 맛있다 친절하다 그렇다 같다 필요하다 필요하다 없다 이다,만족하다 맛있다 친절하다 그렇다 같다 필요하다 필요하다 없다 이다,1,"['만족하다', '맛있다', '친절하다', '그렇다', '같다', '필요하다', '필요하다', '없다', '이다']","['만족하다', '맛있다', '친절하다', '그렇다', '같다', '필요하다', '필요하다', '없다', '이다']","[35, 1, 7, 12, 5, 57, 57, 3, 11]"
음식은다괜찮아요 근데즉석코너요리쌀국수하는분 불친절하네여 인상쓰시고 저희말고도뭐라하시던데 교육좀시키셔야겠어요,양식,"['괜찮다', '불친절하다']",괜찮다 불친절하다,괜찮다 불친절하다,0,"['괜찮다', '불친절하다']","['괜찮다', '불친절하다']","[17, 14]"
친절한서비스에  감동맛에감동,양식,['친절하다'],친절하다,친절하다,1,['친절하다'],['친절하다'],[7]
토마호크 스테이크 양 많고 좀느끼했지만 맛있어요투움바는 말해뭐해 존맛탱 코로나라 그런지 스테이크 설명이 전혀없어서 아쉬웠어용 ㅠㅠ서비스면에서는 많이 아쉬웠네요,양식,"['많다', '느끼하다', '맛있다', '그렇다', '없다', '아쉽다', '아쉽다']",많다 느끼하다 맛있다 그렇다 없다 아쉽다 아쉽다,많다 느끼하다 맛있다 그렇다 없다 아쉽다 아쉽다,0,"['많다', '느끼하다', '맛있다', '그렇다', '없다', '아쉽다', '아쉽다']","['많다', '느끼하다', '맛있다', '그렇다', '없다', '아쉽다', '아쉽다']","[8, 26, 1, 12, 3, 10, 10]"
항상친절하고 너무만족합니다,양식,"['친절하다', '만족하다']",친절하다 만족하다,친절하다 만족하다,1,"['친절하다', '만족하다']","['친절하다', '만족하다']","[7, 35]"
돌솥에 짜장해물도 많이 들고 간도 심심하면서 맛있음 직접 전도 구워먹고 아이스크림도 맛있게  먹었어요근데근데  주말 점심 웨이팅 생각하고 가시길,중식,"['심심하다', '맛있다', '맛있다']",심심하다 맛있다 맛있다,심심하다 맛있다 맛있다,1,"['심심하다', '맛있다', '맛있다']","['심심하다', '맛있다', '맛있다']","[209, 1, 1]"
언제나 최고의 서비스서비스별점은  이나 예약과정은 아쉬워요네이버 예약 가능 시간대가 한정적이고시가 필요한데 분만 가능에 해당시각은인원선택도 명뿐이라시에가니 자동취소대기인원이 없어 문제는 없었지만요,양식,"['아쉽다', '필요하다', '없다', '없다']",아쉽다 필요하다 없다 없다,아쉽다 필요하다 없다 없다,0,"['아쉽다', '필요하다', '없다', '없다']","['아쉽다', '필요하다', '없다', '없다']","[10, 57, 3, 3]"
부족한 부분은 알아서 챙겨주셔서 불편함 없이 잘먹었습니다,양식,"['부족하다', '불편하다']",부족하다 불편하다,부족하다 불편하다,0,"['부족하다', '불편하다']","['부족하다', '불편하다']","[39, 13]"
자주오는 식당이에요메뉴가 정갈하고 식당이 청결해서 호불호 없이 좋은 식당입니다오늘도 맛있게 먹고 가요,일식,"['정갈하다', '청결하다', '좋다', '이다', '맛있다']",정갈하다 청결하다 좋다 이다 맛있다,정갈하다 청결하다 좋다 이다 맛있다,1,"['정갈하다', '청결하다', '좋다', '이다', '맛있다']","['정갈하다', '청결하다', '좋다', '이다', '맛있다']","[112, 73, 2, 11, 1]"
울산에 놀러와서 혼자 초밥먹고싶어서 찾아갔는데 일본같은 느낌 각 테이블에 아이패드같은 셀프 주문스크린이 있어서 원하는것을 고르고 주문을 터치하면 됩니다기본적으로 세팅에 차를 마실 수 있게 차주전자가 있는데 넘 예뻐요 게다가 코스처럼 기본으로 냉소바부터 먼저 주시고 백김치랑 토마토절임도 주시는데 넘 맛있어요 주문했던 초밥세트도 하나하나 완전 신선하고 비린내 하나없이 깨끗하게 잘 먹었답니다 그냥 갯수만 채우는 다른데랑은 달라요 진짜 맛있어요후식도 주셔서 감동받은 저녁이었네요 혼자 먹어도 부담스럽지않은 가성비에 제대로 초밥 한상 즐긴 느낌 아주 좋았어요다음엔 친구랑 오려구요 재방문 꼭 할거에요,일식,"['같다', '같다', '있다', '원하다', '있다', '있다', '예쁘다', '맛있다', '신선하다', '비리다', '깨끗하다', '맛있다', '좋다']",같다 같다 있다 원하다 있다 있다 예쁘다 맛있다 신선하다 비리다 깨끗하다 맛있다 좋다,같다 같다 있다 원하다 있다 있다 예쁘다 맛있다 신선하다 비리 다 깨끗하다 맛있다 좋다,1,"['같다', '같다', '있다', '원하다', '있다', '있다', '예쁘다', '맛있다', '신선하다', '비리', '깨끗하다', '맛있다', '좋다']","['같다', '같다', '있다', '원하다', '있다', '있다', '예쁘다', '맛있다', '신선하다', '비리', '깨끗하다', '맛있다', '좋다']","[5, 5, 4, 91, 4, 4, 28, 1, 34, 78, 38, 1, 2]"
장난 마감 분전이라고 미리 구워둔 차가운 와플에 대충 크림발라서 짬처리당하는 기분,디저트,"['차갑다', '당하다']",차갑다 당하다,차갑다 당하다,0,"['차갑다', '당하다']","['차갑다', '당하다']","[75, 146]"
회가 신선해요다른 회전초밥집 보다 종류도 많아서 좋아요무엇보다 너무 맛있네요,일식,"['신선하다', '많다', '좋다', '맛있다']",신선하다 많다 좋다 맛있다,신선하다 많다 좋다 맛있다,1,"['신선하다', '많다', '좋다', '맛있다']","['신선하다', '많다', '좋다', '맛있다']","[34, 8, 2, 1]"
더운 날씨에 너무 잘 먹었습니다,일식,['덥다'],덥다,덥다,0,['덥다'],['덥다'],[25]
친절친절가격은 쬐끔 비싼감이 있어요ㅋㅋ맛은 최고,디저트,"['비싸다', '있다']",비싸다 있다,비싸다 있다,0,"['비싸다', '있다']","['비싸다', '있다']","[9, 4]"
막국수 양 많고 만두가 정말 맛있었습니다,일식,"['많다', '맛있다']",많다 맛있다,많다 맛있다,1,"['많다', '맛있다']","['많다', '맛있다']","[8, 1]"
커피 진짜맛있고 빵도 맛나요 카페 내 식물도 많고 인테리어도 고급집니다,카페,"['맛있다', '많다']",맛있다 많다,맛있다 많다,1,"['맛있다', '많다']","['맛있다', '많다']","[1, 8]"
사람이 너무 많아 포장해왔어요국물이 진하고 시원하니 맛있어요,한식,"['많다', '진하다', '시원하다', '맛있다']",많다 진하다 시원하다 맛있다,많다 진하다 시원하다 맛있다,1,"['많다', '진하다', '시원하다', '맛있다']","['많다', '진하다', '시원하다', '맛있다']","[8, 84, 53, 1]"
