리뷰,음식유형,리뷰2,리뷰3,리뷰4,label,토큰화된리뷰
맛있어요,일식,['맛있다'],맛있다,맛있다,1,[1]
네이버리뷰를 의심할만큼 음식이 별로였어요 초장 튀김이 입에 안맞는 집은 첨  여자 화장실에는 티슈도 없었어요,해산물,['없다'],없다,없다,0,[3]
한동안 아니마에 안왔었는데오랫만에왔더니 다시 예전에 맛있던 아니마로돌아왔네요 자주올게요,양식,"['아니다', '맛있다', '아니다']",아니다 맛있다 아니다,아니다 맛있다 아니다,0,"[6, 1, 6]"
위치도 좋고 음료도 맛있어요,디저트,"['좋다', '맛있다']",좋다 맛있다,좋다 맛있다,1,"[2, 1]"
넘 맛있어요,일식,['맛있다'],맛있다,맛있다,1,[1]
주문하고 엄청 오래걸리는데다가 음식도 동시에 나오는게 아니고 따로따로 또 오래걸려서 나옵니다 목살스테이크는 손바닥만한 작은 고기하나에 채소같은거만 잔뜩주고 파스타는 봉골레랑 토마토해산물 시켰는데 나오는 시간 대비 맛이 별로고 그중 최악은 마요네즈에 밥비벼나온거같은 크림 리조또입니다 이게 쌀알 질감이 도저히 왜 리조또인지 모르겠고 너무 느끼하기만 합니다 그냥 사진 이쁘게 찍히는 식당입니다 ,양식,"['아니다', '작다', '같다', '같다', '이다', '느끼하다', '이쁘다', '이다']",아니다 작다 같다 같다 이다 느끼하다 이쁘다 이다,아니다 작다 같다 같다 이다 느끼하다 이쁘다 이다,0,"[6, 44, 5, 5, 11, 26, 32, 11]"
여유로움과 고즈넉함을 원했으나 번잡함과 소란스러움이 가득한곳입니다 주중 낮에는 괜찮을까요 전체적으로 어수선한 분위기네요 자리가 마땅치않아 카운터 근처에 앉았는데 오픈형 주방이라 식기류 등 세척소리 관리하는소리때문에 티타임에 집중하기 어렵습니다 두번은 안가고싶은곳입니다,카페,"['원하다', '가득하다', '이다', '괜찮다', '어수선하다', '어렵다', '이다']",원하다 가득하다 이다 괜찮다 어수선하다 어렵다 이다,원하다 가득하다 이다 괜찮다 어수선하다 어렵다 이다,0,"[91, 114, 11, 17, 80, 70, 11]"
소풍 쉐이크 너모 맛나요  감자튀김도 바삭하고 맛있네요 더운 여름에 딱인 곳입니다 ,카페,"['맛있다', '덥다', '딱이다', '이다']",맛있다 덥다 딱이다 이다,맛있다 덥다 딱이다 이다,1,"[1, 25, 164, 11]"
쫀득한 탕슉과매콤칼칼한 짬뽕은역시나 맛나요근데 소주가 천냥 ㅜㅜ맘이 넘 아프다요,중식,"['칼칼하다', '아프다']",칼칼하다 아프다,칼칼하다 아프다,0,[87]
한적한 분위기에 한옥 인테리어로 쉬다가기좋은 카페인 싱귤러커피 부모님과도 연인과도 친구와도 다녀가기 좋을 것 같아요 디저트도 다양하고 포밍멜로우도 맛있어서 자주 오고 싶네요,카페,"['한적하다', '좋다', '좋다', '같다', '다양하다', '맛있다']",한적하다 좋다 좋다 같다 다양하다 맛있다,한적하다 좋다 좋다 같다 다양하다 맛있다,1,"[2, 2, 5, 30, 1]"
커피도 디저트도 너무너무 맛있어요  ,카페,['맛있다'],맛있다,맛있다,1,[1]
사장님께서 직접 고기를 구워주셨네요 고기가 부드럽고 맛있어요,한식,"['부드럽다', '맛있다']",부드럽다 맛있다,부드럽다 맛있다,1,"[36, 1]"
엄마아빠도 늘 좋아하는 여행가다 카페가 얼마전에 왔더니 소풍가다 카페가 되어있네요 여전히 맛잇는 커피와 음료 이쁜 바다뷰에 편한 좌석으로 힐링해요 담엔 피자를 먹어봐야겟어요 ,카페,"['좋아하다', '여전하다', '이쁘다', '편하다']",좋아하다 여전하다 이쁘다 편하다,좋아하다 여전하다 이쁘다 편하다,1,"[23, 54, 32, 21]"
비빔밥 뭔가 프로 부족한 맛이에요야채대부분 소고기 조금 들어갔는데 느끼한 맛이 느껴져요직원 서비스는 별로입니다,카페,"['부족하다', '느끼하다', '이다']",부족하다 느끼하다 이다,부족하다 느끼하다 이다,0,"[39, 26, 11]"
뷰 좋고 커피맛도 좋고 다 좋아용 ,카페,"['좋다', '좋다', '좋다']",좋다 좋다 좋다,좋다 좋다 좋다,1,"[2, 2, 2]"
너무 맛있네요 울산 최고 파스타,양식,['맛있다'],맛있다,맛있다,1,[1]
고급스러운 분위기에 데이트 식사하기 딱 좋은 곳이에요 아니마에서 소고기 라구 토마토 스파게티 먹었는데 살살 녹네요,양식,"['고급스럽다', '좋다', '아니다']",고급스럽다 좋다 아니다,고급스럽다 좋다 아니다,1,"[133, 2, 6]"
너무 예뻐요 마당도 잘 꾸며져있고 뷰도 완전 예뻐요  주차장도 있어서 차 대놓기 너무 편해서 좋아요  여기 애플망고랑 딸기라떼 치즈 케이크 먹었는데 다 맛있었습니다  친구들이랑 가족들이랑 다같이 또 오고싶어요 ,카페,"['예쁘다', '예쁘다', '있다', '편하다', '좋다', '맛있다']",예쁘다 예쁘다 있다 편하다 좋다 맛있다,예쁘다 예쁘다 있다 편하다 좋다 맛있다,1,"[28, 28, 4, 21, 2, 1]"
뷰도 좋고 자리도 넓고 좋아요,카페,"['좋다', '넓다', '좋다']",좋다 넓다 좋다,좋다 넓다 좋다,1,"[2, 16, 2]"
초밥 먹고 싶어서 예전부터 가보고 싶었던 스시아리카 방문했어요 평일 저녁이라 회전 되고 있는 초밥이 많이 없었지만 주문 하면 바로 만들어서 주셔서 더 신신한 초밥을 먹을 수 있었어요 ,일식,"['있다', '없다', '있다']",있다 없다 있다,있다 없다 있다,0,"[4, 3, 4]"
피자와 뇨끼 파스타가 맛있는 곳,양식,['맛있다'],맛있다,맛있다,1,[1]
맛있습니다 자주 오고있습니다,일식,['맛있다'],맛있다,맛있다,1,[1]
비빔칼국수랑 해물부추전 먹었는데 비빔칼국수 너무 맛이없었어요  뷰맛집인걸로,한식,['없다'],없다,없다,0,[3]
겨울에는 꼭 한번 정도는킹크랩을 먹어 줘야지 돼요 그래서 맛집으로 소문난 그리고 무엇보다도 바로 바다 앞이라서 뷰 맛집인 바다바라기를 방문해 보았어요 킹크랩은 정말 언제 먹어도 맛있는 거 같아요 특히 여기는 크기도 그렇고 수율이 무엇보다도 좋아서 한입 가득 맛있는 게살을 듬뿍 넣어서 먹을 수 있거든요 가게 한쪽에 연예인들이 다녀간 싸인이 엄청 많이 붙어 있어요 정말 여기는 동네 주민들뿐만 아니라 전국적으로 유명한 맛집인 거 같아요또한 기본찬이 포함되어 나오는 해산물들도 정말 신선하고 바다향이 듬뿍 담겨져 있어서 좋은 것 같아요 다음에 또 킹크랩이나 대게를 먹을 때 여기 받아 바라기를 와야겠어요,해산물,"['맛있다', '같다', '그렇다', '좋다', '맛있다', '있다', '있다', '아니다', '유명하다', '같다', '신선하다', '있다', '좋다', '같다']",맛있다 같다 그렇다 좋다 맛있다 있다 있다 아니다 유명하다 같다 신선하다 있다 좋다 같다,맛있다 같다 그렇다 좋다 맛있다 있다 있다 아니다 유명하다 같다 신선하다 있다 좋다 같다,1,"[1, 5, 12, 2, 1, 4, 4, 6, 55, 5, 34, 4, 2, 5]"
음식이나 분위기친절은 말할필요 없이 맘에 들었습니다만 주차장이 따로 없어 주차료를 개인이 부담하고 입출차에 시간이 다소 걸린점이 아쉬워 별 반개 뺍니다,일식,"['없다', '아쉽다']",없다 아쉽다,없다 아쉽다,0,"[3, 10]"
음식 맛은 만족청결도는 글쎄 고객응대도 좀 아쉬웠습니다,양식,['아쉽다'],아쉽다,아쉽다,0,[10]
커피전문점인데 커피가 맛없음ㅎㅎ풍경맛집,카페,['맛없다'],맛없다,맛없다,0,[27]
근사한 분위기에 아니마에서 파스타 먹고 왔어요 면이 쫄깃하고 특별하네요 수제베이컨 들어간 매콤 스파게티 먹었는데 소스가 진짜 맛있어요,양식,"['근사하다', '아니다', '특별하다', '맛있다']",근사하다 아니다 특별하다 맛있다,근사하다 아니다 특별하다 맛있다,1,"[6, 33, 1]"
가격이 부담스러우실수도 있지만 가격이상의 맛과 양을 경험할수 있습니다,한식,"['부담스럽다', '있다', '있다']",부담스럽다 있다 있다,부담스럽다 있다 있다,0,"[105, 4, 4]"
고기 너무맛있어요 주먹밥도 맛있고 밑반찬도 맛있어요,한식,"['맛있다', '맛있다', '맛있다']",맛있다 맛있다 맛있다,맛있다 맛있다 맛있다,1,"[1, 1, 1]"
음식 맛있었고 친절했으나 담당이었던 여자직원분이 너무 정신없으셔서 여러번 불러 늦게나오는 상황과 요청사항을 말씀드려야했던거 말고는 좋았습니당,양식,"['맛있다', '친절하다', '없다', '야하다', '좋다']",맛있다 친절하다 없다 야하다 좋다,맛있다 친절하다 없다 야하다 좋다,1,"[1, 7, 3, 31, 2]"
음료가 비쌈,카페,['비싸다'],비싸다,비싸다,0,[9]
돈까스랑 마제 소바 그리고 온소바 냉소바미니카레까지 여러 가지 메뉴가 많아서 좋아요 주말은 웨이팅을 하네요 번호표가 만들어져있으면 더욱 좋을 것 같습니다 ,일식,"['많다', '좋다', '좋다', '같다']",많다 좋다 좋다 같다,많다 좋다 좋다 같다,1,"[8, 2, 2, 5]"
그냥 그래요부자집에서 밥 얻어 먹고 온 느낌돈은 내가 냈는데 이상하네울산 마지막 저녁식사를 망쳤어요비추,해산물,"['그렇다', '이상하다']",그렇다 이상하다,그렇다 이상하다,0,"[12, 65]"
이번에 처음 포장으로 해서 먹어봣는데 만들어먹기도 간편하고 맛도 엄청좋아서 대만족 했습니다 자주 포장해 먹어야 겠어요,한식,"['간편하다', '좋다']",간편하다 좋다,간편하다 좋다,1,"[226, 2]"
우선 자리마다 카드 리더기가 있어서 편했어요 또 깨알 미니 거울이 있어서 굿 ㅜㅜ 온소바는 좀 생소하지만 매운맛이라길래 바로 시켜봤어요  선택이 좋은 판단이였던거 같아요 국물 겁나 얼큰시원  맛도 맛인데 분위기가 조용해서 혼밥 하기도 너무 좋았고 굿 ㅜㅜ 다음에도 또 올게용,일식,"['있다', '편하다', '있다', '생소하다', '맵다', '좋다', '같다', '조용하다', '좋다']",있다 편하다 있다 생소하다 맵다 좋다 같다 조용하다 좋다,있다 편하다 있다 생소하다 매다 좋다 같다 조용하다 좋다,1,"[4, 21, 4, 50, 2, 5, 58, 2]"
빵 가격 커피 가격이 ㄷㄷㄷ국밥보다 비싸네요한끼식사 만큼의 커피음료,카페,['비싸다'],비싸다,비싸다,0,[9]
경주에서 여러번 먹고 울산에도 있다길래 들렀습니다 경주와 다르게 리조또에 그냥 쌀이 아닌 현미같은 느낌의 밥이 들어갔는데 밥알이 크기도 하고 식감이 약간 부담스러웠어요 ㅜ 맛은 나쁘지않음 ,양식,"['있다', '다르다', '아니다', '같다', '부담스럽다', '나쁘다']",있다 다르다 아니다 같다 부담스럽다 나쁘다,있다 다르다 아니다 같다 부담스럽다 나쁘다,0,"[4, 41, 6, 5, 105, 18]"
성인인에 아이 예약했는데 테이블 불판은 개한우갈비살은 잘 씹어지지도 않고이렇게 얇은 돼지갈비는 처음 먹어보네요비계는 또 엄청나고음식 갖고 장난치는 것도 아니고 충격끓여먹는 된장찌개는 대체 무슨 맛인건지비빔냉면에 계란 껍데기가 있는데도 그대로,한식,"['얇다', '엄청나다', '아니다', '있다']",얇다 엄청나다 아니다 있다,얇다 엄청나다 아니다 있다,0,"[139, 140, 6, 4]"
성남동 맛집이라서 왔는데 역시 이유가 있었네요ㅎㅎ음식도 맛있고 양도 푸짐하고기분좋게 먹고 갑니다,양식,"['있다', '맛있다', '좋다']",있다 맛있다 좋다,있다 맛있다 좋다,1,"[4, 1, 2]"
맛있어요,한식,['맛있다'],맛있다,맛있다,1,[1]
정말 오랜만에 방문한 아웃백입니다 초딩꼬마를 둔 덕분에 아웃백이면 토마호크 란 말에 토마호크를 주문하고 또 스테디메뉴인 투움바와 기브미파이브 감자숲까지 아주 맛나게 먹었습니다주방 앞자리라 오고가는 직원들에게 여러가지 부탁을 좀 많이 드렸는데 활짝웃는 표정으로 신속하게 잘 들어주셔서 감사해요특히  쌩유 베리감솨후식할 땐 테이블도 깨끗하게 치워주시고 나오는길엔  빵도 좀 부탁드렸는데 잘 챙겨주셔서 고맙습니다다음번에 방문때도 또 그 다음에도 이번처럼 좋은 기억으로 쭈욱 나오고 싶습니다,양식,"['이다', '신속하다', '깨끗하다', '부탁드리다', '고맙다', '좋다']",이다 신속하다 깨끗하다 부탁드리다 고맙다 좋다,이다 신속하다 깨끗하다 부탁드리다 고맙다 좋다,1,"[11, 38, 79, 2]"
기대만발하고 분넘게 웨이팅 하고먹었는데 서빙된 상태의 돌짜장은 고춧가루 안뿌리면 애기용 순한 짜장맛 뜨거울때 먹으면 무슨맛인지 모르겠고 조금 식히면 먹을만함 대신 느끼하지는 않음 위생관리도좀 잘해주시길,중식,"['순하다', '뜨겁다', '느끼하다']",순하다 뜨겁다 느끼하다,순하다 뜨겁다 느끼하다,0,"[180, 26]"
갈때마다 피자가 진짜 맛있네요 그리고 저는 아니었지만 옆테이블에 아이가 음료를 쏟았는데 여성 직원분 대응보고 놀랬습니다 이렇게 친절할수가 있구나 맛도 좋지만 잘되는데는 이유가 있는거같습니다 ㅎㅎ수고하세요,양식,"['맛있다', '아니다', '놀래다', '친절하다', '있다', '좋다', '있다', '같다']",맛있다 아니다 놀래다 친절하다 있다 좋다 있다 같다,맛있다 아니다 놀래다 친절하다 있다 좋다 있다 같다,1,"[1, 6, 113, 7, 4, 2, 4, 5]"
너무 먹을것이 없어요ㅠ,한식,['없다'],없다,없다,0,[3]
여기 맛나다고 친구가 계속 얘기해서 꼭오고싶엇는데 오늘 방문하게 됬네요 흑우라서 더 맛있구 뷰도 이쁘고 종종와야겟어요,한식,"['맛있다', '이쁘다']",맛있다 이쁘다,맛있다 이쁘다,1,"[1, 32]"
알바생인지 직원인지 떠들고 논다고 식사를  할수가없었을정도로 시끄러웠습니다 사장님은 씨씨티비 확인부탁 드립니다다시는 방문하기 싫어요,일식,"['없다', '시끄럽다', '싫다']",없다 시끄럽다 싫다,없다 시끄럽다 싫다,0,"[3, 29, 49]"
최악이었음어버이날겸 해서 부모님을 모시고 예약잡아 갔는데 가기전 리뷰를 보고 갔던터라 랍스타코스 인  메뉴를 시키면서 코스간에 음식이 끊기지 않게 해달라 몇번을 부탁했는데 처음나온 음식 먹고나서 한참을 기다려야 다음 메뉴가 나오고 가장 최악이엇던것은  메인 메뉴인 랍스타 버터구이가 안나옴랍스타 칠리 인과 버터구이 인을 주문했는데 칠리만 먼저나와 다먹고나서 멍하니 기다리다 버터구이는 한참을 기다려도 안나와서 물어보니 분만 기다리라고ㅜ 또 안나와서 물어보니 뭐가 잘못된건지 주문이 안들어갔다고기다리다가 시간 다 보내고 음식먹다가 끊기고완전 짜증난 하루였음더구나 칠리로 나온 랍스타의 크기가 정말 작음ㅜ 마트에 행사로 가끔 파는 작은 랍스타 크기와 비슷함 정말 돈 아깝다고 생각됨,해산물,"['덥다', '짜증나다', '작다', '작다', '비슷하다', '아깝다']",덥다 짜증나다 작다 작다 비슷하다 아깝다,덥다 짜증나다 작다 작다 비슷하다 아깝다,0,"[25, 94, 44, 44, 159, 20]"
처음 와봤는데 맛있어요,일식,['맛있다'],맛있다,맛있다,1,[1]
잘먹고즐거운시간보냈습니다,양식,['즐겁다'],즐겁다,즐겁다,1,[64]
코로나로 포장해서 먹었는데 깍두기가 조금이라 아쉬웠어요 국밥맛은 역시,한식,['아쉽다'],아쉽다,아쉽다,0,[10]
주말 아침 브런치 먹으러 다녀왔어요집 앞에 이런 곳 있어서 너무 좋다는아이랑 신랑도 잘 먹고가성비 좋은 곳이랍니다,양식,"['이렇다', '있다', '좋다', '좋다']",이렇다 있다 좋다 좋다,이렇다 있다 좋다 좋다,1,"[37, 4, 2, 2]"
가격대비 글쎄요아메리카노는 평범했어요좌석이 너무 다닥다닥 붙어있어 불편했네요 ,카페,"['평범하다', '불편하다']",평범하다 불편하다,평범하다 불편하다,0,"[121, 13]"
가격이 너무비싸요아메리카노 원은 쫌,카페,['비싸다'],비싸다,비싸다,0,[9]
데이트하기좋아요,양식,['좋다'],좋다,좋다,1,[2]
정말 맛이 환상적으로 맛있어서 나중 가족들이랑 함께 오고 싶어요,일식,['맛있다'],맛있다,맛있다,1,[1]
대게먹을땐 기장에 가곤했는데 정자에서 첨 먹어봤는데 확실히 기장 대게골목보다는 비싸네요 ㅠㅠ치즈구이가 별미였어요,해산물,"['확실하다', '비싸다']",확실하다 비싸다,확실하다 비싸다,0,"[116, 9]"
맛있어요  다음에 또 방문할게요 ,양식,['맛있다'],맛있다,맛있다,1,[1]
너무정신없어요,카페,['없다'],없다,없다,0,[3]
왕돈까스 싸이즈 대박커요한사람이 다 먹을수가 없는 싸이쥬맛도 대박,양식,['없다'],없다,없다,0,[3]
가게도 깨끗하고 음식두 다 맛나용 담에 또올거에여,일식,['깨끗하다'],깨끗하다,깨끗하다,1,[38]
이전에 다른 지점에서 맛있게 먹었던 기억이 있어서 울산에서도 방문했는데 이 곳도 정말 왕도리에요 짬뽕 맛집   탕슉도 고기가 두툼하게 씹는맛이 있어요  ,중식,"['맛있다', '있다', '있다']",맛있다 있다 있다,맛있다 있다 있다,1,"[1, 4, 4]"
콜드브루는 나쁘지 않았어요시그니처 메뉴가 블랙빈 라떼이길래 먹어봤는데음 제 입엔 별로네용 ㅠ ㅠ ㅎ 신기한건 꿀타래가 올라가있어요 ㅋㅋㅋ,카페,"['나쁘다', '신기하다']",나쁘다 신기하다,나쁘다 신기하다,0,"[18, 170]"
친절하시고 음식 다 맛나요 특히 스테이크 부드러워요,양식,"['친절하다', '부드럽다']",친절하다 부드럽다,친절하다 부드럽다,1,"[7, 36]"
솔직히 맛은 그냥 그래요플레이팅 때문에 한번쯤 가볼 순 있어도 다음에 또 가진 않을 것 같아요가격도 다른 곳보다 비싸구요주차는 사실상 못한다고 봐야 돼요그리고 예약하고 방문했음에도 옆 테이블과는 다른 세팅에 조금 실망했어요티슈나 냅킨을 안주시더라구요,양식,"['솔직하다', '그렇다', '있다', '같다', '비싸다', '실망하다']",솔직하다 그렇다 있다 같다 비싸다 실망하다,솔직하다 그렇다 있다 같다 비싸다 실망하다,0,"[89, 12, 4, 5, 9, 43]"
초밥 런치세트로 가성비좋게 맛있게 먹었습니다,일식,"['좋다', '맛있다']",좋다 맛있다,좋다 맛있다,1,"[2, 1]"
알바생이 초밥 위에 수정과를 엎었습니다 엎는건 실수이니 그러려니 하는데 새 초밥으로 바꿔준다는 말씀이 없었네요 참치 연어 새우 초밥 세개 일부러 아껴뒀는데 수정과에 흠뻑 젖은 채로 먹었어요 안그래도 수정과 냄새 싫어하는데 너무 짜증났어요 그렇다고 음식이 빨리 나온 것도 아니고 주문하고 나서부터 분 이상 기다린듯요 재방문 안합니다,일식,"['그렇다', '없다', '그렇다', '싫어하다', '짜증나다', '아니다']",그렇다 없다 그렇다 싫어하다 짜증나다 아니다,그렇다 없다 그렇다 싫어하다 짜증나다 아니다,0,"[12, 3, 12, 118, 94, 6]"
너무  늦게가서 먹고싶었던 빵이 다 나가서 슬프지만 아쉬운대로 포장해서 집에가기이이잉,디저트,"['슬프다', '아쉽다']",슬프다 아쉽다,슬프다 아쉽다,0,"[119, 10]"
여기 찐 단골입니다 꾸덕한 파스타 먹고 싶으면 여기만한게 없어요,양식,"['이다', '없다']",이다 없다,이다 없다,0,"[11, 3]"
기념일에 방문하였는데 다른 곳에 없는 메뉴들도 있고 대체로 다 맛있었어요특히레터링 부탁드렸는데 바로 전화와서 친절하게 물어봐주셔서 너무 좋았답니다 ,양식,"['없다', '있다', '맛있다', '부탁드리다', '친절하다', '좋다']",없다 있다 맛있다 부탁드리다 친절하다 좋다,없다 있다 맛있다 부탁드리다 친절하다 좋다,1,"[3, 4, 1, 79, 7, 2]"
첨 와봤는데 넘 맛있네요 ㅎㅎ 대만족입니당,양식,"['맛있다', '이다']",맛있다 이다,맛있다 이다,1,"[1, 11]"
일주일에 한 두번은 꼭 먹으러 옵니다 스키다시로 냉모밀을 주는 게 정말 맘에 들어요 간장새우 내놓은 곳이 잘 없어서 특히나 정이 갑니다 번창하세요 ,일식,['없다'],없다,없다,0,[3]
처음 가족외식으로 왔는데고기도 너무 연하고넘 맛있었어요스파게티면은 단골들만 알고 서비스로 주신다는데주셔서 너무 잘 먹었어요다음에 또 생각날꺼같아요분위기도 너무 좋았구요매장 내 나오는 음악도 딱 취저였답니당또 올께요,한식,"['연하다', '맛있다', '같다', '좋다']",연하다 맛있다 같다 좋다,연하다 맛있다 같다 좋다,1,"[135, 1, 5, 2]"
사람이 너무 많아서 앉을 자리도 부족하고 너무 시끄러웠어요ㅠㅠ,카페,"['많다', '부족하다', '시끄럽다']",많다 부족하다 시끄럽다,많다 부족하다 시끄럽다,0,"[8, 39, 29]"
으리으리한데 또 맛은 있는 ㅠ울산 예카로 완전 강추인정합니다 시 쯤 갔는데 빵종류 많았어요,카페,"['있다', '많다']",있다 많다,있다 많다,1,"[4, 8]"
오늘 결제해주시던분 일하신지 얼마안되신분같아서 그냥 왔지만 통신사할인 하고 상품권 두개가있어 하나에 잔액남은거 다쓰고 나머지는 만원상품권으로 결제해달라했는데 그냥 만원으로 결제다했어요 하고 영수증주시던데 그럴거면 그거라도 통신사할인해주셨어야하는거아닌가싶네요저희 앞에 결제하는 손님도 이분이 결제해주시다가 옆에분이랑 자리 바꾸는것같던데 앞에 데스크는 고연차분께서 있어야하는게 아닌가싶네요 ,양식,"['안되다', '같다', '있다', '그렇다', '아니다', '같다', '있다', '아니다']",안되다 같다 있다 그렇다 아니다 같다 있다 아니다,안되다 같다 있다 그렇다 아니다 같다 있다 아니다,0,"[19, 5, 4, 12, 6, 5, 4, 6]"
친구 추천으로 가본 카페 한옥 느낌이 멋스럽고 시그니처 음료도 정말 맛있었어요 직원분도 친절하셔서 기분좋게 머무르다 갑니다,카페,"['스럽다', '맛있다', '친절하다', '좋다']",스럽다 맛있다 친절하다 좋다,스럽다 맛있다 친절하다 좋다,1,"[69, 1, 7, 2]"
포장은 영 아니네요 같은가격에 매장에서 먹으면 닭불고기 인삼주오이소박이 등등 주는데 포장은 달랑 김치오이소박이도 없음 알아서 달라고해야한다함가격은 왜똑같이받는건지,한식,"['아니다', '같다', '없다', '야하다']",아니다 같다 없다 야하다,아니다 같다 없다 야하다,0,"[6, 5, 3, 31]"
전보다는 맛이 없지만 그래도 가끔씩 생각날거같아요,한식,"['없다', '같다']",없다 같다,없다 같다,0,"[3, 5]"
사진이 더러워서 죄송합니다사이드메뉴 추가할 때 칠리컵을 꼭 고려해보세요 강하고 짧은 맛이 특징입니다설로인은 레어로 먹어야 맛있어요 레어 잘 해주십니다 콤보도 가격대비 정말 잘 나왔어요,양식,"['더럽다', '죄송하다', '강하다', '짧다', '이다', '맛있다']",더럽다 죄송하다 강하다 짧다 이다 맛있다,더럽다 죄송하다 강하다 짧다 이다 맛있다,0,"[62, 48, 126, 165, 11, 1]"
아이가 서빙 로봇을 너무 좋아하네요 음식도 굳 맛있게 잘 먹겠습니다 ,한식,"['좋아하다', '굳다', '맛있다']",좋아하다 굳다 맛있다,좋아하다 굳다 맛있다,1,"[23, 96, 1]"
피자가 화덕에서 즉석에서 구워나오는게 아닌 오븐에 살짝 데워나오는 음식이라 아쉬웠음 리조또는 진한 풍미가 부족하고 고기가 질긴편이고 역시 고기맛이 부족해서 아쉬웠음 오징어먹물의 파스타는 좋았지만 오징어양념은 너무나 평범했음 테이블간격을 넓게 두신점은 좋았지만 방석에 앉으니 테이블이 낮은 느낌이라 불편해서 방석빼고 먹음전체적으로 천장에 조명설치를 하시길 권해드림   음식도 어둡게 보여 음식이 돋보이지가 않음  제 개인적인 의견이긴 했지만 혹시나 사장님께서 참고하셨으면 좋겠네요,양식,"['아니다', '아쉽다', '진하다', '부족하다', '부족하다', '아쉽다', '좋다', '평범하다', '넓다', '좋다', '낮다', '불편하다', '어둡다', '좋다']",아니다 아쉽다 진하다 부족하다 부족하다 아쉽다 좋다 평범하다 넓다 좋다 낮다 불편하다 어둡다 좋다,아니다 아쉽다 진하다 부족하다 부족하다 아쉽다 좋다 평범하다 넓다 좋다 낮다 불편하다 어둡다 좋다,0,"[6, 10, 84, 39, 39, 10, 2, 121, 16, 2, 176, 13, 156, 2]"
좀 비싸지만 맛 나요,한식,['비싸다'],비싸다,비싸다,0,[9]
맛이 예전보다는 좀 아쉽네요,일식,['아쉽다'],아쉽다,아쉽다,0,[10]
뷰가좋아요,카페,['좋다'],좋다,좋다,1,[2]
배달맛집이라 직접 방문했는데훨씬 맛있어요양도 푸짐해서 대만족이에요직원분도 친절하셔서 기분좋게 식사했습니다다음에 또 방문할 거에요,양식,"['맛있다', '친절하다', '좋다']",맛있다 친절하다 좋다,맛있다 친절하다 좋다,1,"[1, 7, 2]"
맛있었어요,양식,['맛있다'],맛있다,맛있다,1,[1]
분위기  좋아요건강한   피자 맛,카페,"['좋다', '건강하다']",좋다 건강하다,좋다 건강하다,1,[2]
값이  비싸요,중식,['비싸다'],비싸다,비싸다,0,[9]
대게 자체가 가격대가 원래 있는편인건 알고있었어서데이트비용으로 부담스럽긴 했지만 그래도 푸짐하게 잘 먹었습니다,해산물,"['있다', '부담스럽다']",있다 부담스럽다,있다 부담스럽다,0,"[4, 105]"
치즈카츠 강추해요,일식,['추하다'],추하다,추하다,0,[40]
시설 깔끔하구 친절하시구 음식 종류도 다양해서 좋아요,일식,"['깔끔하다', '친절하다', '다양하다', '좋다']",깔끔하다 친절하다 다양하다 좋다,깔끔하다 친절하다 다양하다 좋다,1,"[15, 7, 30, 2]"
와여기찐맛집ㅋㅋㅋㅋ원래양식먹고나면느끼한데여긴그런거없어여ㅋㅋ대박,한식,"['그렇다', '없다']",그렇다 없다,그렇다 없다,0,"[12, 3]"
헐리뷰에 어떤 분 말씀대로 계산하시는 여자분 사장님이신지 마스크 안쓰시고  입구문에는 마스크 착용해달라는 문구 붙여있음 주방에도 마스크 다 안쓰고 있고홀써빙만 마스크 끼셨네요 써빙하시는 분 아직 앉아있는데 치워도 되냐하시고음식 맛은 있는데 뭔가 기본이 안되어서 인지 찝찝해요,한식,"['어떻다', '있다', '있다', '안되다', '찝찝하다']",어떻다 있다 있다 안되다 찝찝하다,어떻다 있다 있다 안되다 찝찝하다,0,"[56, 4, 4, 19, 108]"
늦게 온 사람들이 먼저 받아감그 사람들이 다 먹을 때까지도 안 나옴배달은 늦게 시켜도 그거 나가느라 홀 메뉴 안 나옴메뉴 받는 데까지 분 걸림그 와중에 다른 메뉴랑 배달은 다 감언제 나오냐고 물어보니 곧 나온다 해놓고 분 걸림다른 메뉴는 나오는 데 분도 안 걸림제가 예민한 걸 수도 있는데 순서대로도 아니고 마구잡이로 나오는 게 이해가 안 가네요빨리 나올 수 있는 메뉴들일 거라 생각했는데앉아 있으면서 뒤에 들어온 배달이랑 배달은 다 나가면서 홀에서 시킨 메뉴가 안 나온 걸 보니 그냥 배달로 시킬 걸 그랬네요ㅋㅋㅋ,디저트,"['예민하다', '있다', '아니다', '있다', '있다', '그렇다']",예민하다 있다 아니다 있다 있다 그렇다,예민하다 있다 아니다 있다 있다 그렇다,0,"[252, 4, 6, 4, 4, 12]"
가격은 비싸요다른건 좋습니다할인해도 비쌉니다두번은 안갈듯,해산물,"['비싸다', '다르다', '좋다', '비싸다']",비싸다 다르다 좋다 비싸다,비싸다 다르다 좋다 비싸다,0,"[9, 41, 2, 9]"
